workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
100,display,3,146499,0,447,3460
100,display,3,141204,0,526,3460
100,display,3,206961,0,460,3454
100,display,3,146412,0,427,3454
100,display,3,222006,0,494,3455
100,display,3,141873,0,456,3460
100,display,3,132385,0,438,3456
100,display,3,155502,0,457,3454
100,display,3,151733,0,496,3456
100,display,3,147492,0,453,3460
100,display,3,202285,0,473,3458
100,display,3,116254,0,498,3456
100,display,3,157985,0,418,3455
100,display,3,140165,0,437,3460
100,display,3,173940,0,450,3458
100,display,3,153201,0,450,3456
100,display,3,152834,0,478,3456
100,display,3,107915,0,408,3459
100,display,3,221228,0,448,3460
100,display,3,165135,0,443,3458
100,display,3,150138,0,414,3460
100,display,3,197310,0,390,3457
100,display,3,197465,0,527,3455
100,display,3,185312,0,332,3460
100,display,3,151317,0,453,3456
100,display,3,243530,0,534,3454
100,display,3,132769,0,492,3454
100,display,3,228786,0,457,3460
100,display,3,133796,0,425,3455
100,display,3,131950,0,455,3455
100,display,3,123397,0,442,3451
100,display,3,153008,0,489,3455
100,display,3,153003,0,435,3456
100,display,3,51392,0,420,3454
100,display,3,123136,0,463,3456
100,display,3,176463,0,295,3455
100,display,3,168212,0,517,3455
100,display,3,199177,0,540,3456
100,display,3,133749,0,445,3454
100,display,3,167524,0,426,3455
100,display,3,147189,0,489,3460
100,display,3,147643,0,487,3460
100,display,3,135514,0,359,3451
100,display,3,158495,0,445,3456
100,display,3,215493,0,409,3455
100,display,3,120113,0,453,3453
100,display,3,156859,0,446,3460
100,display,3,235123,0,320,3454
100,display,3,161461,0,511,3460
100,display,3,133310,0,451,3456
100,display,3,163153,0,537,3456
100,display,3,145441,0,457,3456
100,display,3,121132,0,479,3456
100,display,3,183712,0,445,3460
100,display,3,126964,0,440,3456
100,display,3,547855,0,472,3456
100,display,3,183542,0,437,3460
100,display,3,180756,0,481,3456
100,display,3,133625,0,460,3456
100,display,3,183536,0,440,3456
100,display,3,194566,0,479,3454
100,display,3,147457,0,502,3456
100,display,3,134520,0,447,3455
100,display,3,180290,0,471,3454
100,display,3,155909,0,452,3449
100,display,3,138929,0,438,3456
100,display,3,158176,0,494,3458
100,display,3,170862,0,511,3456
100,display,3,129937,0,443,3454
100,display,3,120148,0,480,3456
100,display,3,395619,0,555,3454
100,display,3,216233,0,516,3455
100,display,3,143276,0,457,3456
100,display,3,243709,0,472,3456
100,display,3,166953,0,483,3454
100,display,3,182741,0,440,3460
100,display,3,146205,0,434,3460
100,display,3,153791,0,476,3458
100,display,3,131295,0,471,3460
100,display,3,142457,0,430,3456
100,display,3,179644,0,499,3456
100,display,3,183267,0,442,3455
100,display,3,136004,0,434,3456
100,display,3,199102,0,515,3456
100,display,3,162660,0,490,3454
100,display,3,140533,0,425,3460
100,display,3,164951,0,425,3458
100,display,3,141851,0,453,3456
100,display,3,143306,0,445,3456
100,display,3,198416,0,541,3458
100,display,3,154068,0,424,3456
100,display,3,135975,0,416,3460
100,display,3,129797,0,414,3458
100,display,3,177144,0,411,3455
100,display,3,275210,0,657,3610
100,display,3,131446,0,462,3456
100,display,3,149906,0,455,3456
100,display,3,126234,0,468,3460
100,display,3,155712,0,474,3458
100,display,3,174640,0,484,3456
100,display,3,140827,0,442,3447
100,display,3,116631,0,490,3456
100,display,3,165725,0,517,3456
100,display,3,148993,0,443,3454
100,display,3,161785,0,426,3454
100,display,3,150152,0,438,3458
100,display,3,134991,0,461,3451
100,display,3,178684,0,456,3456
100,display,3,125127,0,428,3456
100,display,3,181528,0,545,3455
100,display,3,192701,0,521,3460
100,display,3,119036,0,446,3456
100,display,3,171867,0,595,3456
100,display,3,347944,0,656,3612
100,display,3,148676,0,458,3456
100,display,3,165120,0,485,3456
100,display,3,229012,0,647,3612
100,display,3,131228,0,355,3454
100,display,3,194987,0,392,3456
100,display,3,156568,0,434,3460
100,display,3,152393,0,468,3456
100,display,3,178044,0,530,3455
100,display,3,136942,0,443,3454
100,display,3,150656,0,348,3455
100,display,3,149687,0,475,3456
100,display,3,106800,0,322,3455
100,display,3,174636,0,468,3454
100,display,3,171563,0,436,3460
100,display,3,114095,0,442,3458
100,display,3,144169,0,409,3456
100,display,3,170961,0,461,3456
100,display,3,160863,0,470,3456
100,display,3,112240,0,417,3456
100,display,3,214354,0,573,3454
100,display,3,190563,0,429,3456
100,display,3,179299,0,473,3456
100,display,3,128085,0,465,3454
100,display,3,135734,0,470,3453
100,display,3,143071,0,422,3456
100,display,3,149668,0,451,3456
100,display,3,142266,0,448,3456
100,display,3,122989,0,451,3456
100,display,3,142997,0,458,3454
100,display,3,151590,0,454,3455
100,display,3,188044,0,521,3449
100,display,3,154267,0,444,3458
100,display,3,179409,0,517,3456
100,display,3,151853,0,467,3446
100,display,3,187063,0,491,3460
100,display,3,168840,0,308,3449
100,display,3,172370,0,453,3460
100,display,3,153580,0,448,3454
100,display,3,175824,0,324,3456
100,display,3,159142,0,488,3460
100,display,3,239845,0,483,3454
100,display,3,136460,0,450,3456
100,display,3,148222,0,441,3456
100,display,3,191746,0,394,3456
100,display,3,207344,0,481,3460
100,display,3,248499,0,467,3456
100,display,3,158166,0,415,3454
100,display,3,238308,0,484,3460
100,display,3,117411,0,428,3456
100,display,3,267634,0,608,3455
100,display,3,179029,0,431,3460
100,display,3,344282,0,524,3455
100,display,3,230459,0,457,3456
100,display,3,175490,0,463,3454
100,display,3,120382,0,431,3449
100,display,3,436599,0,355,3455
100,display,3,116227,0,467,3454
100,display,3,118193,0,446,3455
100,display,3,135762,0,505,3454
100,display,3,142439,0,434,3456
100,display,3,188859,0,431,3458
100,display,3,143598,0,443,3460
100,display,3,181640,0,455,3449
100,display,3,159223,0,458,3454
100,display,3,111806,0,440,3456
100,display,3,122402,0,454,3451
100,display,3,153305,0,438,3456
100,display,3,142515,0,479,3454
100,display,3,200529,0,424,3454
100,display,3,160001,0,441,3460
100,display,3,132993,0,431,3458
100,display,3,169791,0,442,3458
100,display,3,175568,0,463,3456
100,display,3,134269,0,466,3460
