[18:39:41.065970197] (+0.000000759) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065971089] (+0.000000892) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88064E7E23C0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065971144] (+0.000000055) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065979948] (+0.000008804) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065980713] (+0.000000765) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065981431] (+0.000000718) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065982189] (+0.000000758) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065983674] (+0.000001485) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065984618] (+0.000000944) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065985867] (+0.000001249) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065989622] (+0.000003755) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065990364] (+0.000000742) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065991023] (+0.000000659) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065992061] (+0.000001038) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF88072E9C9000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065992225] (+0.000000164) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065993075] (+0.000000850) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065993302] (+0.000000227) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8121E373, ptr = 0xFFFF880735412940, bytes_req = 704, bytes_alloc = 704, gfp_flags = 208 }
[18:39:41.065994126] (+0.000000824) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065996716] (+0.000002590) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065997210] (+0.000000494) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8109E2B6, ptr = 0xFFFF88064E7E2240, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065997422] (+0.000000212) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065998206] (+0.000000784) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065998938] (+0.000000732) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88000FD06D00, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
